,n,m,k,BDD_dominating_cgm_ot,BDD_dominating_cgm_mt,BDD_blame_ot,BDD_blame_mt,BDD_mod_blame_ot,BDD_mod_blame_mt,BDD_influence_ot,BDD_influence_mt,GPMC_blame_ot,GPMC_blame_mt,GPMC_mod_blame_ot,GPMC_mod_blame_mt,GPMC_influence_ot,GPMC_influence_mt
0,10,8,3,1.0364055633544922,0.499725341796875,,,,,,,,,,,,
1,10,8,3,0.7259845733642578,0.5266666412353516,,,,,,,,,,,,
2,10,8,3,0.4837512969970703,0.3194808959960937,,,,,,,,,,,,
3,10,8,3,0.8459091186523438,0.6604194641113281,,,,,,,,,,,,
4,10,8,3,0.8630752563476562,0.6926059722900391,,,,,,,,,,,,
5,10,8,3,,,3.263711929321289,2.901792526245117,,,,,,,,,,
6,10,8,3,,,2.684354782104492,2.5305747985839844,,,,,,,,,,
7,10,8,3,,,1.3158321380615234,1.1599063873291016,,,,,,,,,,
8,10,8,3,,,2.150774002075196,2.012968063354492,,,,,,,,,,
9,10,8,3,,,2.580881118774414,2.431154251098633,,,,,,,,,,
10,10,8,3,,,,,2.399921417236328,2.079010009765625,,,,,,,,
11,10,8,3,,,,,1.5439987182617188,1.3976097106933594,,,,,,,,
12,10,8,3,,,,,0.6060600280761719,0.4470348358154297,,,,,,,,
13,10,8,3,,,,,1.459360122680664,1.2106895446777344,,,,,,,,
14,10,8,3,,,,,0.9472370147705078,0.8025169372558594,,,,,,,,
15,10,8,3,,,,,,,0.4143714904785156,0.0658035278320312,,,,,,
16,10,8,3,,,,,,,0.3380775451660156,0.0772476196289062,,,,,,
17,10,8,3,,,,,,,0.1909732818603515,0.0412464141845703,,,,,,
18,10,8,3,,,,,,,0.2570152282714844,0.049591064453125,,,,,,
19,10,8,3,,,,,,,0.406503677368164,0.0536441802978515,,,,,,
20,10,8,3,,,,,,,,,168.65825653076172,168.44606399536133,,,,
21,10,8,3,,,,,,,,,158.0653190612793,157.95040130615234,,,,
22,10,8,3,,,,,,,,,130.82408905029297,130.70917129516602,,,,
23,10,8,3,,,,,,,,,95.58749198913574,95.38459777832033,,,,
24,10,8,3,,,,,,,,,105.48973083496094,105.37600517272948,,,,
25,10,8,3,,,,,,,,,,,84.136962890625,84.03801918029785,,
26,10,8,3,,,,,,,,,,,66.22648239135742,66.11776351928711,,
27,10,8,3,,,,,,,,,,,43.89548301696777,43.78104209899902,,
28,10,8,3,,,,,,,,,,,56.59723281860352,56.48684501647949,,
29,10,8,3,,,,,,,,,,,59.61799621582031,59.51046943664551,,
30,10,8,3,,,,,,,,,,,,,18.01466941833496,17.913818359375
31,10,8,3,,,,,,,,,,,,,20.22886276245117,20.123958587646484
32,10,8,3,,,,,,,,,,,,,17.026424407958984,16.915321350097656
33,10,8,3,,,,,,,,,,,,,15.418767929077148,15.314102172851562
34,10,8,3,,,,,,,,,,,,,15.281915664672852,15.174627304077148
35,10,8,3,1.7044544219970703,1.1773109436035156,,,,,,,,,,,,
36,10,8,3,0.7755756378173828,0.5946159362792969,,,,,,,,,,,,
37,10,8,3,0.6771087646484375,0.5013942718505859,,,,,,,,,,,,
38,10,8,3,0.5559921264648438,0.3952980041503906,,,,,,,,,,,,
39,10,8,3,0.7295608520507812,0.576019287109375,,,,,,,,,,,,
40,10,8,3,,,4.237890243530273,3.843069076538086,,,,,,,,,,
41,10,8,3,,,4.540443420410156,4.278421401977539,,,,,,,,,,
42,10,8,3,,,2.404212951660156,2.2470951080322266,,,,,,,,,,
